Date,Fear Greed,SPY_Close
2011-04-29,41,136.42999267578125
2011-05-02,36,136.22000122070312
2011-05-03,31,135.72999572753906
2011-05-04,30,134.8300018310547
2011-05-05,29,133.61000061035156
2011-05-06,27,134.1999969482422
2011-05-09,28,134.72000122070312
2011-05-10,31,135.8699951171875
2011-05-11,31,134.44000244140625
2011-05-12,32,135.0800018310547
2011-05-13,32,134.0399932861328
2011-05-16,27,133.19000244140625
2011-05-17,27,133.1699981689453
2011-05-18,25,134.36000061035156
2011-05-19,23,134.67999267578125
2011-05-20,22,133.61000061035156
2011-05-23,16,132.05999755859375
2011-05-24,13,131.9499969482422
2011-05-25,13,132.38999938964844
2011-05-26,15,133.0
2011-05-27,16,133.50999450683594
2011-05-31,16,134.89999389648438
2011-06-01,15,131.8699951171875
2011-06-02,12,131.72999572753906
2011-06-03,9,130.4199981689453
2011-06-06,6,129.0399932861328
2011-06-07,6,128.9600067138672
2011-06-08,6,128.4199981689453
2011-06-09,6,129.39999389648438
2011-06-10,5,127.5999984741211
2011-06-13,6,127.6999969482422
2011-06-14,5,129.32000732421875
2011-06-15,5,127.0199966430664
2011-06-16,6,127.3000030517578
2011-06-17,7,127.0500030517578
2011-06-20,9,127.6999969482422
2011-06-21,9,129.4499969482422
2011-06-22,10,128.6699981689453
2011-06-23,10,128.3000030517578
2011-06-24,11,126.80999755859376
2011-06-27,25,127.94000244140624
2011-06-28,29,129.61000061035156
2011-06-29,30,130.72000122070312
2011-06-30,32,131.97000122070312
2011-07-01,34,133.9199981689453
2011-07-05,51,133.80999755859375
2011-07-06,52,133.97000122070312
2011-07-07,48,135.36000061035156
2011-07-08,43,134.39999389648438
2011-07-11,35,131.97000122070312
2011-07-12,31,131.39999389648438
2011-07-13,31,131.83999633789062
2011-07-14,31,130.92999267578125
2011-07-15,32,131.69000244140625
2011-07-18,44,130.61000061035156
2011-07-19,44,132.72999572753906
2011-07-20,47,132.64999389648438
2011-07-21,48,134.49000549316406
2011-07-22,51,134.5800018310547
2011-07-25,38,133.8300018310547
2011-07-26,35,133.3300018310547
2011-07-27,27,130.60000610351562
2011-07-28,27,130.22000122070312
2011-07-29,16,129.3300018310547
2011-08-01,10,128.77999877929688
2011-08-02,8,125.48999786376952
2011-08-03,2,126.16999816894533
2011-08-04,5,120.26000213623048
2011-08-05,5,120.08000183105467
2011-08-08,1,112.26000213623048
2011-08-09,2,117.4800033569336
2011-08-10,2,112.29000091552734
2011-08-11,3,117.33000183105467
2011-08-12,6,118.12000274658205
2011-08-15,7,120.62000274658205
2011-08-16,11,119.58999633789062
2011-08-17,7,119.66999816894533
2011-08-18,7,114.51000213623048
2011-08-19,6,112.63999938964844
2011-08-22,7,112.7300033569336
2011-08-23,9,116.44000244140624
2011-08-24,8,118.08000183105467
2011-08-25,11,116.27999877929688
2011-08-26,12,117.97000122070312
2011-08-29,22,121.36000061035156
2011-08-30,22,121.68000030517578
2011-08-31,28,122.22000122070312
2011-09-01,26,120.94000244140624
2011-09-02,26,117.8499984741211
2011-09-06,27,116.98999786376952
2011-09-07,28,120.29000091552734
2011-09-08,25,119.04000091552734
2011-09-09,25,115.91999816894533
2011-09-12,31,116.66999816894533
2011-09-13,31,117.73999786376952
2011-09-14,31,119.37000274658205
2011-09-15,33,121.43000030517578
2011-09-16,38,121.5199966430664
2011-09-19,39,120.30999755859376
2011-09-20,32,120.16999816894533
2011-09-21,31,116.62999725341795
2011-09-22,28,112.86000061035156
2011-09-23,28,113.54000091552734
2011-09-26,26,116.23999786376952
2011-09-27,25,117.54000091552734
2011-09-28,27,115.13999938964844
2011-09-29,23,116.0500030517578
2011-09-30,22,113.1500015258789
2011-10-03,20,109.93000030517578
2011-10-04,23,112.33999633789062
2011-10-05,27,114.41999816894533
2011-10-06,33,116.48999786376952
2011-10-07,31,115.70999908447266
2011-10-10,41,119.58000183105467
2011-10-11,41,119.6999969482422
2011-10-12,42,120.75
2011-10-13,42,120.51000213623048
2011-10-14,41,122.56999969482422
2011-10-17,48,120.2300033569336
2011-10-18,48,122.58000183105467
2011-10-19,48,121.12999725341795
2011-10-20,54,121.66000366210938
2011-10-21,66,123.97000122070312
2011-10-24,62,125.48999786376952
2011-10-25,62,123.0500030517578
2011-10-26,71,124.3000030517578
2011-10-27,67,128.6300048828125
2011-10-28,66,128.60000610351562
2011-10-31,62,125.5
2011-11-01,62,122.0
2011-11-02,62,123.98999786376952
2011-11-03,63,126.25
2011-11-04,60,125.4800033569336
2011-11-07,65,126.26000213623048
2011-11-08,65,127.87999725341795
2011-11-09,59,123.16000366210938
2011-11-10,60,124.31999969482422
2011-11-11,60,126.66000366210938
2011-11-14,54,125.45999908447266
2011-11-15,54,126.08000183105467
2011-11-16,55,124.08000183105467
2011-11-17,52,122.11000061035156
2011-11-18,46,121.9800033569336
2011-11-21,43,119.66000366210938
2011-11-22,41,119.19000244140624
2011-11-23,39,116.55999755859376
2011-11-25,51,116.33999633789062
2011-11-28,57,119.70999908447266
2011-11-29,62,120.0500030517578
2011-11-30,67,124.98999786376952
2011-12-01,61,124.97000122070312
2011-12-02,67,124.86000061035156
2011-12-05,66,126.22000122070312
2011-12-06,66,126.26000213623048
2011-12-07,66,126.7300033569336
2011-12-08,66,123.9499969482422
2011-12-09,65,126.0500030517578
2011-12-12,62,124.20999908447266
2011-12-13,56,123.0500030517578
2011-12-14,61,121.73999786376952
2011-12-15,61,122.18000030517578
2011-12-16,60,121.58999633789062
2011-12-19,74,120.29000091552734
2011-12-20,74,123.93000030517578
2011-12-21,74,124.16999816894533
2011-12-22,78,125.2699966430664
2011-12-23,77,126.38999938964844
2011-12-27,75,126.48999786376952
2011-12-28,75,124.83000183105467
2011-12-29,75,126.12000274658205
2011-12-30,75,125.5
2012-01-03,77,127.5
2012-01-04,77,127.6999969482422
2012-01-05,78,128.0399932861328
2012-01-06,78,127.70999908447266
2012-01-09,81,128.02000427246094
2012-01-10,82,129.1300048828125
2012-01-11,83,129.1999969482422
